instancia,tempo_base,tempo_obtido,custo_base,custo_obtido,diferenca_custo
pr76,1.366,1.03842,108159,108159,0
gr96,3.475,2.62001,55209,55291,0
ulysses16,0.008,0.00997399,6859,6859,0
kroA200,32.951,24.1479,29368,29792,0
pr107,4.582,4.31671,44303,44303,0
gr24,0.028,0.0251355,1272,1272,0
tsp225,45.368,33.0031,3916,3916,0
eil76,1.549,1.2959,538,546,0
eil101,4.436,3.40064,629,638,0
si535,758.534,591.331,48466.8,48497,0
fri26,0.033,0.0305336,937,937,0
pr144,10.479,7.33898,58537,58537,0
ch130,10.91,8.22534,6110,6170,0
eil51,0.369,0.292534,426,426,0
pr299,130.098,96.9789,48194.8,48475,0
kroD100,4.114,3.09143,21294,21294,0
gr17,0.008,0.0107756,2085,2085,0
gr229,61.498,41.6575,134613,135283,0
brg180,12.824,8.12167,1950,1960,0
kroB150,10.634,7.99082,26130,26132,0
ali535,1525,1173.85,202384,204284,0
ts225,28.869,17.1158,126643,126643,0
rd400,498.288,374.751,15296.1,15399,0
kroA100,3.468,2.72676,21282,21282,0
hk48,0.336,0.258415,11461,11461,0
dantzig42,0.161,0.139367,699,699,0
ch150,10.43,6.79973,6528,6543,0
gil262,82.271,67.8929,2378.7,2380,0
kroA150,11.751,8.34,26524,26524,0
u159,10.828,7.14427,42080,42080,0
bayg29,0.043,0.0413769,1610,1610,0
lin318,188.78,127.258,42045.7,42282,0
pcb442,597.431,440.663,50876,51184,0
ulysses22,0.019,0.0200257,7013,7013,0
kroB100,3.748,2.89615,22141,22141,0
kroE100,3.745,3.1245,22068,22121,0
rat195,28.046,22.5814,2326.1,2352,0
att48,0.3,0.256594,10628,10628,0
d493,1132.48,900.405,35042,35175,0
d198,33.639,24.277,15780,15802,0
att532,1778.96,1150.73,27731,27938,0
berlin52,0.374,0.273198,7542,7542,0
si175,17.333,11.3549,21407,21422,0
burma14,0.004,0.00607301,3323,3323,0
gr21,0.014,0.0149215,2707,2707,0
gr202,37.105,27.0404,40160.1,40256,0
st70,1.03,0.832566,675,675,0
kroC100,3.568,2.8683,20749,20749,0
pr264,64.758,48.4882,49135,49423,0
gr137,11.348,8.4183,69853,69853,0
kroB200,35.53,27.3993,29437.2,29929,0
linhp318,187.536,135.681,42053.1,42337,0
bier127,10.209,8.32677,118282,118282,0
swiss42,0.155,0.116567,1273,1273,0
lin105,4.355,3.11198,14379,14379,0
pr136,13.632,10.6553,96772,96772,0
gr431,721.745,597.37,171530,171880,0
fl417,365.503,322.258,11861,11869,0
pr124,7.021,4.52751,59030,59030,0
pr152,8.708,5.71507,73682,73682,0
rat99,4.115,3.19491,1211,1211,0
brazil58,0.479,0.379417,25395,25395,0
bays29,0.05,0.0439183,2020,2020,0
a280,96.623,71.1191,2579,2592,0
pr226,45.27,32.869,80369,80369,0
gr48,0.314,0.260171,5046,5046,0
gr120,9.065,7.20562,6942,6951,0
rd100,3.983,3.08051,7910,7910,0
