instancia,tempo_base,tempo_obtido,custo_base,custo_obtido,diferenca_custo
pr76,1.366,1.40096,108159,112573,0
gr96,3.475,2.90657,55209,57931.5,0
ulysses16,0.008,0.0138616,6859,6903.2,0
kroA200,32.951,16.9458,29368,30585,0
pr107,4.582,3.96377,44303,45312.9,0
gr24,0.028,0.0426995,1272,1295.9,0
tsp225,45.368,24.0252,3916,4127.2,0
eil76,1.549,1.4034,538,566.8,0
eil101,4.436,3.2498,629,660.2,0
si535,758.534,345.042,48466.8,48858.3,0
fri26,0.033,0.0548615,937,967.2,0
pr144,10.479,9.70182,58537,61331.6,0
ch130,10.91,7.02598,6110,6425.8,0
eil51,0.369,0.415405,426,441,0
pr299,130.098,57.284,48194.8,50913.1,0
kroD100,4.114,3.22928,21294,22068.9,0
gr17,0.008,0.0159987,2085,2088.6,0
gr229,61.498,25.4742,134613,141234,0
brg180,12.824,12.718,1950,2156,0
kroB150,10.634,7.07685,26130,27568.9,0
ali535,1525,366.745,202384,218023,0
ts225,28.869,23.3557,126643,133420,0
rd400,498.288,144.555,15296.1,16117.9,0
kroA100,3.468,3.23286,21282,22358.2,0
hk48,0.336,0.34695,11461,11881.9,0
dantzig42,0.161,0.232408,699,717.4,0
ch150,10.43,6.96661,6528,6901.6,0
gil262,82.271,38.4435,2378.7,2525.5,0
kroA150,11.751,6.97937,26524,27746.1,0
u159,10.828,8.2897,42080,45059.8,0
bayg29,0.043,0.0771556,1610,1641.6,0
lin318,188.78,69.3871,42045.7,44039.4,0
pcb442,597.431,194.237,50876,53866.6,0
ulysses22,0.019,0.0346065,7013,7031.4,0
kroB100,3.748,3.2608,22141,23327.8,0
kroE100,3.745,3.24506,22068,22851.7,0
rat195,28.046,15.4923,2326.1,2473.6,0
att48,0.3,0.353716,10628,10850.4,0
d493,1132.48,272.049,35042,36887.4,0
d198,33.639,16.4621,15780,16114.6,0
att532,1778.96,356.507,27731,29282.5,0
berlin52,0.374,0.437899,7542,7951.5,0
si175,17.333,10.7381,21407,21575.8,0
burma14,0.004,0.00911667,3323,3327.8,0
gr21,0.014,0.0296549,2707,2725.8,0
gr202,37.105,17.597,40160.1,41924.5,0
st70,1.03,1.11595,675,694.6,0
kroC100,3.568,3.33162,20749,21607,0
pr264,64.758,40.7063,49135,52096.1,0
gr137,11.348,8.51604,69853,73587.6,0
kroB200,35.53,17.2675,29437.2,31170.1,0
linhp318,187.536,71.1172,42053.1,44043.1,0
bier127,10.209,6.90308,118282,122917,0
swiss42,0.155,0.239785,1273,1327,0
lin105,4.355,3.87687,14379,15035.4,0
pr136,13.632,8.4513,96772,102097,0
gr431,721.745,182.402,171530,181651,0
fl417,365.503,159.281,11861,12447.7,0
pr124,7.021,6.04527,59030,60477.6,0
pr152,8.708,7.22313,73682,75302.6,0
rat99,4.115,3.05011,1211,1281.5,0
brazil58,0.479,0.61251,25395,26007.2,0
bays29,0.05,0.0742412,2020,2057.4,0
a280,96.623,47.5769,2579,2765.9,0
pr226,45.27,24.8476,80369,83762,0
gr48,0.314,0.36112,5046,5169.6,0
gr120,9.065,5.85891,6942,7229,0
rd100,3.983,3.39096,7910,8370.5,0
