instancia,tempo_base,tempo_obtido,custo_base,custo_obtido,diferenca_custo
pr76,1.366,1.24557,108159,108159,0
gr96,3.475,3.06027,55209,55403,0
ulysses16,0.008,0.0097618,6859,6859,0
kroA200,32.951,25.0369,29368,29534,0
pr107,4.582,4.852,44303,44347,0
gr24,0.028,0.0290312,1272,1286,0
tsp225,45.368,36.2348,3916,3941,0
eil76,1.549,1.30954,538,539,0
eil101,4.436,3.91035,629,630,0
si535,758.534,601.704,48466.8,48519,0
fri26,0.033,0.0344997,937,937,0
pr144,10.479,9.01139,58537,58537,0
ch130,10.91,9.41978,6110,6124,0
eil51,0.369,0.3289,426,427,0
pr299,130.098,103.865,48194.8,48197,0
kroD100,4.114,3.88376,21294,21294,0
gr17,0.008,0.0133634,2085,2085,0
gr229,61.498,51.7839,134613,135193,0
brg180,12.824,10.1463,1950,1950,0
kroB150,10.634,10.0597,26130,26130,0
ali535,1525,1237.93,202384,202408,0
ts225,28.869,20.2234,126643,126643,0
rd400,498.288,385.827,15296.1,15365,0
kroA100,3.468,3.18103,21282,21305,0
hk48,0.336,0.295802,11461,11470,0
dantzig42,0.161,0.157278,699,699,0
ch150,10.43,7.72827,6528,6556,0
gil262,82.271,67.3645,2378.7,2381,0
kroA150,11.751,9.86162,26524,26524,0
u159,10.828,8.47925,42080,42080,0
bayg29,0.043,0.0451331,1610,1610,0
lin318,188.78,155.779,42045.7,42187,0
pcb442,597.431,466.273,50876,51169,0
ulysses22,0.019,0.0215498,7013,7013,0
kroB100,3.748,3.59143,22141,22141,0
kroE100,3.745,3.74465,22068,22106,0
rat195,28.046,24.3217,2326.1,2365,0
att48,0.3,0.273839,10628,10628,0
d493,1132.48,969.742,35042,35192,0
d198,33.639,26.5733,15780,15796,0
att532,1778.96,1221.14,27731,27859,0
berlin52,0.374,0.305451,7542,7542,0
si175,17.333,14.2643,21407,21408,0
burma14,0.004,0.00627574,3323,3323,0
gr21,0.014,0.0171362,2707,2707,0
gr202,37.105,29.0342,40160.1,40439,0
st70,1.03,0.954616,675,680,0
kroC100,3.568,3.23439,20749,20880,0
pr264,64.758,51.116,49135,49135,0
gr137,11.348,10.1718,69853,69853,0
kroB200,35.53,28.2234,29437.2,29508,0
linhp318,187.536,158.145,42053.1,42177,0
bier127,10.209,10.1553,118282,118282,0
swiss42,0.155,0.132606,1273,1273,0
lin105,4.355,3.52366,14379,14379,0
pr136,13.632,12.654,96772,97729,0
gr431,721.745,623.873,171530,172942,0
fl417,365.503,320.255,11861,11869,0
pr124,7.021,5.3592,59030,59030,0
pr152,8.708,7.00842,73682,73818,0
rat99,4.115,3.82073,1211,1211,0
brazil58,0.479,0.435031,25395,25395,0
bays29,0.05,0.0487272,2020,2020,0
a280,96.623,73.0769,2579,2579,0
pr226,45.27,40.0817,80369,80369,0
gr48,0.314,0.29696,5046,5046,0
gr120,9.065,8.30443,6942,6951,0
rd100,3.983,3.86196,7910,7944,0
