instancia,tempo_base,tempo_obtido,custo_base,custo_obtido,diferenca_custo
pr76,1.366,1.00406,108159,108159,0
gr96,3.475,2.6124,55209,55209,0
ulysses16,0.008,0.00960272,6859,6859,0
kroA200,32.951,23.9359,29368,29490,0
pr107,4.582,4.57153,44303,44303,0
gr24,0.028,0.0248726,1272,1272,0
tsp225,45.368,33.2989,3916,3940,0
eil76,1.549,1.22571,538,540,0
eil101,4.436,3.36635,629,641,0
si535,758.534,533.88,48466.8,48499,0
fri26,0.033,0.0308432,937,937,0
pr144,10.479,7.34713,58537,58537,0
ch130,10.91,8.54859,6110,6110,0
eil51,0.369,0.277194,426,428,0
pr299,130.098,86.9711,48194.8,48650,0
kroD100,4.114,3.25669,21294,21309,0
gr17,0.008,0.0105951,2085,2085,0
gr229,61.498,42.3934,134613,135486,0
brg180,12.824,7.73812,1950,1950,0
kroB150,10.634,7.76018,26130,26161,0
ali535,1525,1021.28,202384,207105,0
ts225,28.869,17.1435,126643,126643,0
rd400,498.288,351.016,15296.1,15438,0
kroA100,3.468,2.58551,21282,21305,0
hk48,0.336,0.256987,11461,11461,0
dantzig42,0.161,0.131661,699,699,0
ch150,10.43,7.06759,6528,6533,0
gil262,82.271,62.3578,2378.7,2397,0
kroA150,11.751,8.21892,26524,26525,0
u159,10.828,7.5764,42080,42080,0
bayg29,0.043,0.0464293,1610,1610,0
lin318,188.78,128.958,42045.7,42321,0
pcb442,597.431,456.64,50876,51119,0
ulysses22,0.019,0.0199095,7013,7013,0
kroB100,3.748,2.74323,22141,22141,0
kroE100,3.745,3.01878,22068,22206,0
rat195,28.046,23.2762,2326.1,2337,0
att48,0.3,0.249002,10628,10628,0
d493,1132.48,917.636,35042,35258,0
d198,33.639,21.54,15780,15790,0
att532,1778.96,1215.49,27731,27894,0
berlin52,0.374,0.262323,7542,7815,0
si175,17.333,11.1976,21407,21421,0
burma14,0.004,0.0060538,3323,3323,0
gr21,0.014,0.0145886,2707,2707,0
gr202,37.105,23.8703,40160.1,40223,0
st70,1.03,0.797882,675,675,0
kroC100,3.568,2.55725,20749,20749,0
pr264,64.758,45.2354,49135,49378,0
gr137,11.348,8.13153,69853,69853,0
kroB200,35.53,26.5454,29437.2,29489,0
linhp318,187.536,132.158,42053.1,42457,0
bier127,10.209,8.6453,118282,118282,0
swiss42,0.155,0.117228,1273,1273,0
lin105,4.355,3.06344,14379,14379,0
pr136,13.632,10.7058,96772,96772,0
gr431,721.745,520.587,171530,172120,0
fl417,365.503,394.229,11861,11869,0
pr124,7.021,6.24912,59030,59030,0
pr152,8.708,7.99449,73682,73682,0
rat99,4.115,4.34387,1211,1211,0
brazil58,0.479,0.50183,25395,25395,0
bays29,0.05,0.0557134,2020,2020,0
a280,96.623,85.3851,2579,2613,0
pr226,45.27,41.6994,80369,80602,0
gr48,0.314,0.311717,5046,5055,0
gr120,9.065,9.5021,6942,6951,0
rd100,3.983,4.27486,7910,7910,0
