instancia,tempo_base,tempo_obtido,custo_base,custo_obtido,diferenca_custo
pr76,1.366,1.03103,108159,108159,0
gr96,3.475,2.72185,55209,55291,0
ulysses16,0.008,0.0104794,6859,6859,0
kroA200,32.951,23.7527,29368,29368,0
pr107,4.582,4.40782,44303,44303,0
gr24,0.028,0.0255659,1272,1272,0
tsp225,45.368,33.5413,3916,3958,0
eil76,1.549,1.19605,538,538,0
eil101,4.436,3.60895,629,629,0
si535,758.534,507.782,48466.8,48521,0
fri26,0.033,0.0295322,937,937,0
pr144,10.479,7.8049,58537,58537,0
ch130,10.91,8.4967,6110,6124,0
eil51,0.369,0.287129,426,427,0
pr299,130.098,97.7864,48194.8,48459,0
kroD100,4.114,3.15805,21294,21309,0
gr17,0.008,0.0107355,2085,2085,0
gr229,61.498,43.8041,134613,135444,0
brg180,12.824,8.2388,1950,1970,0
kroB150,10.634,7.81994,26130,26141,0
ali535,1525,1188.8,202384,202789,0
ts225,28.869,17.6715,126643,126643,0
rd400,498.288,357.489,15296.1,15408,0
kroA100,3.468,2.51909,21282,21282,0
hk48,0.336,0.266688,11461,11461,0
dantzig42,0.161,0.139211,699,699,0
ch150,10.43,7.31267,6528,6528,0
gil262,82.271,63.9071,2378.7,2391,0
kroA150,11.751,7.88681,26524,26524,0
u159,10.828,7.71088,42080,42080,0
bayg29,0.043,0.0415026,1610,1610,0
lin318,188.78,141.448,42045.7,42564,0
pcb442,597.431,461.416,50876,50926,0
ulysses22,0.019,0.0206509,7013,7013,0
kroB100,3.748,3.00357,22141,22237,0
kroE100,3.745,2.98338,22068,22121,0
rat195,28.046,21.4846,2326.1,2347,0
att48,0.3,0.258615,10628,10628,0
d493,1132.48,804.839,35042,35293,0
d198,33.639,23.4774,15780,15791,0
att532,1778.96,1137.16,27731,27884,0
berlin52,0.374,0.262943,7542,7542,0
si175,17.333,11.4169,21407,21407,0
burma14,0.004,0.00603011,3323,3323,0
gr21,0.014,0.0147186,2707,2707,0
gr202,37.105,25.8881,40160.1,40574,0
st70,1.03,0.827503,675,675,0
kroC100,3.568,2.72312,20749,20749,0
pr264,64.758,47.1522,49135,49491,0
gr137,11.348,8.81389,69853,69853,0
kroB200,35.53,25.8122,29437.2,29746,0
linhp318,187.536,138.322,42053.1,42572,0
bier127,10.209,8.07018,118282,118282,0
swiss42,0.155,0.113857,1273,1273,0
lin105,4.355,3.0468,14379,14379,0
pr136,13.632,10.6447,96772,96994,0
gr431,721.745,604.565,171530,171933,0
fl417,365.503,301.033,11861,11869,0
pr124,7.021,4.71953,59030,59030,0
pr152,8.708,6.0427,73682,73818,0
rat99,4.115,2.94094,1211,1211,0
brazil58,0.479,0.372275,25395,25395,0
bays29,0.05,0.0449843,2020,2026,0
a280,96.623,64.71,2579,2579,0
pr226,45.27,29.8896,80369,80369,0
gr48,0.314,0.26156,5046,5046,0
gr120,9.065,7.64133,6942,6942,0
rd100,3.983,3.18869,7910,7944,0
